"date_id","Symbol","A000070","A003200","A016800","A005720","A015350","A033660","A007160","A000320","A004700","A014280","A003070","A000860","A005810","A000430","A092230","A002620","A007700","A013520","A002390","A004970","A025000","A035510","A067830","A000540","A006220","A015360","A004250","A001940","A021820","A136490"
122,"2015-06-30","233,000","209,500","31,500","8,750","37,000","7,060","88,500","27,500","122,000","16,000","21,200","54,000","43,650","4,715","76,400","28,735","20,300","3,420","38,550","20,150","58,000","190,000","6,240","4,240","10,518","37,000","6,310","15,032","25,100","14,387"
123,"2015-07-01","223,000","213,500","31,650","8,780","37,050","6,990","88,800","27,650","122,000","16,000","22,500","51,900","43,850","4,750","75,900","28,943","20,150","3,380","40,600","20,050","58,300","183,500","6,190","4,400","10,766","37,650","6,490","14,911","25,450","14,341"
124,"2015-07-02","230,500","211,000","31,000","8,740","37,150","7,060","88,000","28,000","125,000","16,040","22,450","52,200","44,300","4,775","77,200","28,735","20,150","3,310","40,900","20,450","59,800","179,000","6,120","4,390","12,055","37,750","6,490","15,012","25,300","14,546"
125,"2015-07-03","249,500","204,000","31,600","8,750","37,300","7,080","88,100","28,900","122,500","16,060","21,500","51,500","45,300","4,805","77,400","28,112","19,300","3,455","42,150","21,000","59,900","175,000","6,150","4,365","12,403","37,900","6,500","15,212","24,950","14,615"
126,"2015-07-06","244,500","200,000","31,250","8,640","37,200","6,930","84,700","26,750","122,500","15,720","20,200","50,700","44,200","4,800","76,500","27,697","18,000","3,340","42,150","20,900","58,000","170,500","6,060","4,275","12,254","37,750","6,470","15,232","24,200","14,661"
127,"2015-07-07","239,000","200,500","31,300","8,620","36,900","6,880","90,900","28,450","123,500","15,720","20,300","51,000","44,050","4,730","74,700","23,542","17,800","3,220","35,650","21,450","57,200","163,500","6,070","4,290","12,552","37,150","6,470","15,112","24,250","13,998"
128,"2015-07-08","280,000","209,500","31,550","8,540","36,800","6,930","94,100","28,450","124,500","15,660","20,700","50,200","43,850","4,755","74,000","23,196","18,600","3,120","34,600","20,650","57,200","162,500","5,980","4,310","12,204","37,800","6,400","15,012","24,600","13,839"
129,"2015-07-09","300,000","215,500","31,400","8,530","36,500","6,990","98,300","27,800","125,000","15,700","20,750","48,300","43,850","4,640","73,000","21,846","18,150","3,130","35,350","20,350","57,200","160,500","5,980","4,310","11,857","37,750","6,450","15,052","24,500","13,564"
130,"2015-07-10","285,000","211,500","31,550","8,540","36,850","6,990","108,500","29,300","125,500","16,320","20,700","49,200","42,850","4,570","75,000","21,880","17,600","3,130","34,700","20,750","56,600","164,500","5,850","4,310","11,262","37,950","6,290","14,731","24,750","13,839"
131,"2015-07-13","280,000","205,000","35,650","8,750","37,200","7,080","108,500","31,300","127,000","16,600","25,200","52,700","44,000","4,580","76,000","23,092","17,100","3,085","35,150","20,850","57,700","160,500","5,930","4,300","12,006","38,850","6,360","15,152","25,100","14,021"
